602#4# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#4# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#4##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
602#5# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#5##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
602#6# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#6##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#09/06/2011
602#7# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
602#7##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#29/09/2011
602#8##Asignado#LYCAMOBILE, S.L. UNIPERSONAL#22/03/2016
602#9##Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#18/06/2013
603#0# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#0# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#0# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#0# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#0# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
603#0##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#20/11/2008
603#1# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#15/04/2019
